family	order	class	phylum	kingdom	realm
Kirkoviridae	Rohanvirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Kitaviridae	Martellivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Kleczkowskaviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Kolmioviridae					Ribozyviria
Konkoviridae	Hareavirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
Konodaiviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Krittikaviridae	Magrovirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Kruegerviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Kunpengviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Kyanoviridae	Pantevenvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Lakviridae	Grandevirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Lebotiviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Leishbuviridae	Hareavirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
Leisingerviridae	Methanobavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Liberviridae	Amoyvirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Lilleviridae	Alpavirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Lilliviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Lindbergviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Lipothrixviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria
Lispiviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Litenviridae	Alpavirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Litilviridae	Alpavirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Lomiviridae					
Ludisviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Luriaviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Lutetiaviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Lutzviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Madisaviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Madridviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Mahapunaviridae	Saturnivirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Malacoherpesviridae	Herpesvirales	Herviviricetes	Peploviricota	Heunggongvirae	Duplodnaviria
Mamonoviridae		Megaviricetes	Nucleocytoviricota	Bamfordvirae	Varidnaviria
Mariniviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Marnaviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Marseilleviridae	Pimascovirales	Megaviricetes	Nucleocytoviricota	Bamfordvirae	Varidnaviria
Matonaviridae	Hepelivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Matsushitaviridae	Halopanivirales	Laserviricetes	Dividoviricota	Helvetiavirae	Singelaviria
Maviroviridae	Lavidavirales	Virophaviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria
Mayoviridae	Martellivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Mazaviridae	Amoyvirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Mazoviaviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Medioniviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Megabirnaviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Megatotiviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Mesomimiviridae	Imitervirales	Megaviricetes	Nucleocytoviricota	Bamfordvirae	Varidnaviria
Mesoniviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Mestraviridae	Vinavirales	Belvinaviricetes	Produgelaviricota	Abadenavirae	Varidnaviria
Mesyanzhinovviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Metaviridae	Ortervirales	Revtraviricetes	Artverviricota	Pararnavirae	Riboviria
Metaxyviridae	Mulpavirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Mimiviridae	Imitervirales	Megaviricetes	Nucleocytoviricota	Bamfordvirae	Varidnaviria
Mitoviridae	Cryppavirales	Howeltoviricetes	Lenarviricota	Orthornavirae	Riboviria
Molycolviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Monocitiviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Mononiviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Mtkvariviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Mycoalphaviridae	Hepelivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Mymonaviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Mypoviridae	Hareavirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
Myriaviridae	Jingchuvirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Nairoviridae	Hareavirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
Nanghoshaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Nanhypoviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Nanicoviridae	Ducavirales	Laserviricetes	Dividoviricota	Helvetiavirae	Singelaviria
Nanopleoviridae	Haloruvirales	Huolimaviricetes	Saleviricota	Trapavirae	Pleomoviria
Nanoviridae	Mulpavirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Naomviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Narnaviridae	Wolframvirales	Amabiliviricetes	Lenarviricota	Orthornavirae	Riboviria
Naryaviridae	Rivendellvirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Natareviridae	Jingchuvirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Nenyaviridae	Rohanvirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Nimaviridae		Naldaviricetes			
Nipumfusiviridae					
Nixviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Nodaviridae	Nodamuvirales	Magsaviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Noraviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Nudiviridae	Lefavirales	Naldaviricetes			
Nyamiviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Obscuriviridae					
Occultatumviridae	Secretvirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Olifoviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Omnilimnoviroviridae	Priklausovirales	Virophaviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria
Oomyviridae	Lineavirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Ootiviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Orlajensenviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Orpheoviridae	Pimascovirales	Megaviricetes	Nucleocytoviricota	Bamfordvirae	Varidnaviria
Orthoherpesviridae	Herpesvirales	Herviviricetes	Peploviricota	Heunggongvirae	Duplodnaviria
Orthomyxoviridae	Articulavirales	Insthoviricetes	Negarnaviricota	Orthornavirae	Riboviria
Orthototiviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Osikeviridae	Reekeekeevirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Ourmiaviridae	Ourlivirales	Miaviricetes	Lenarviricota	Orthornavirae	Riboviria
Ouroboviridae	Gredzevirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Ovaliviridae					
Pachyviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Pamosaviridae	Tombendovirales				Riboviria
Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Floreoviria
Parahypoviridae	Hypofuvirales	Stelpaviricetes	Pisuviricota	Orthornavirae	Riboviria
Paramyxoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Parnassusviridae	Vinavirales	Belvinaviricetes	Produgelaviricota	Abadenavirae	Varidnaviria
Partitiviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Orthornavirae	Riboviria
Parvoviridae	Piccovirales	Quintoviricetes	Cossaviricota	Shotokuvirae	Floreoviria
Paulinoviridae	Tubulavirales	Faserviricetes	Hofneiviricota	Loebvirae	Efunaviria
Pecoviridae	Ringavirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Peduoviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Pequenoviridae	Bullavirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Peribunyaviridae	Elliovirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
Permutotetraviridae				Orthornavirae	Riboviria
Pervagoviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Pestiviridae	Amarillovirales	Flasuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Phasmaviridae	Elliovirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
Phenuiviridae	Hareavirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
Phlegiviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
